"","What grade are you in?","What is/are your favourite subjects?","What is your ethnic background?","What is your academic stream?","What departments do you work in at Mackenzie?","Ham between two slices of bread","Bacon, lettuce, and tomato between two slices of bread","Grilled cheese","Panini","Sub","Hamburger","Hotdog","Ice cream between two cookies","Buritto","Taco","Calzone","Quesadilla","Open-faced sandwich","Pizza","Two slices of pizza, face down, on top of each other","Slice of bread between two more slices of bread","Oreo cookie","Ritz cracker","Sushi burrito","Nigiri sushi","Slice of cheese","Salad with croutons","Brick between two slices of bread","Cold cuts","Tomato","Cheese","Lettuce","Mayonnaise","Mustard","Ketchup","Carrot","Peanut butter","Jelly","Olives","Fish","Egg","Fruit","Chicken foot","Rice","Potato","Soup","Pasta","Grass"
"23","Grade 12","Math;Science","South Asian","Academic","",10,10,8,6,10,10,10,8,0,0,0,0,0,0,1,10,0,0,0,0,0,0,10,10,10,10,10,10,8,10,5,10,10,7,5,10,10,0,0,0,0,0,4
"24","Grade 11","Math;Science","Vietnamese","Other","",10,10,10,10,7,5,0,10,0,3,3,3,10,0,4,3,6,4,0,0,0,0,10,10,10,10,10,10,10,10,10,4,6,10,10,10,6,0,0,10,10,4,0
"25","Grade 12","Arts;Computer Science and Technology;Physical Education;Social Sciences","Filipino","Academic","",6,10,10,10,10,3,1,10,2,0,3,4,0,0,0,0,3,2,3,0,0,0,0,10,10,10,10,10,10,10,1,6,8,7,3,7,2,0,0,0,0,0,0
"26","Grade 12","None","Jewish","Gifted","",10,10,10,10,10,7,9,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,10,10,10,10,10,10,10,7,10,10,7,10,10,7,7,7,7,2,7,5
"27","Teacher","Math","Other","Teacher","Math",10,10,10,10,8,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,10,10,10,10,5,6,6,8,10,10,0,0,3,2,1,2,5
"28","Grade 12","Arts;Math","Chinese","MaCS","",10,10,7,8,6,9,5,5,5,6,4,4,0,0,5,5,3,3,4,0,0,0,1,10,10,10,10,5,0,5,2,0,0,6,0,5,0,0,0,3,0,0,0
"29","Grade 12","English;Math;Science","East Asian","MaCS","",10,10,10,10,10,8,7,9,4,3,5,5,5,1,5,10,9,8,3,0,0,0,0,10,10,10,10,10,10,10,8,10,10,7,10,10,4,4,3,8,0,1,0
"30","Grade 12","Computer Science and Technology;Math;Science","Caucasian","MaCS","",10,10,10,10,10,7,5,8,2,3,7,7,4,1,7,8,2,4,3,0,0,0,10,10,10,10,10,10,10,7,7,9,9,7,8,8,6,2,5,3,0,0,1
"31","Grade 12","Arts;Computer Science and Technology;Math","Jewish","MaCS","",10,10,9,8,8,7,5,4,2,1,4,4,6,0,2,4,2,6,0,0,0,0,10,10,10,10,10,9,7,0,0,6,6,0,8,9,0,3,0,7,0,0,0
"32","Grade 12","English;Science;Social Sciences","Chinese","MaCS","",10,10,10,10,10,10,4,7,0,4,6,6,10,0,10,10,8,10,0,0,0,0,8,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,7,6,0,6,5
"33","Grade 12","Math;Science","Caucasian","MaCS","",10,10,10,10,10,7,3,10,2,1,2,1,10,0,4,3,10,10,2,0,0,0,3,10,10,10,10,10,10,10,8,10,10,8,8,10,3,1,0,0,0,0,0
"34","Grade 12","Science","Vietnamese","MaCS","",10,10,10,10,10,9,1,5,0,6,0,0,0,0,9,0,2,2,0,0,0,0,0,10,10,10,10,10,10,3,3,10,10,0,10,10,0,0,0,5,0,0,0
"35","Grade 11","Computer Science and Technology;Math;Science","Caucasian","MaCS","",10,10,10,10,10,10,4,10,1,2,6,10,7,0,10,10,10,10,1,0,0,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,10,10
"36","Grade 12","Computer Science and Technology;Math;Science","South Asian","MaCS","",10,10,10,10,8,10,6,6,0,0,0,0,0,0,2,10,0,0,0,0,0,0,9,10,10,10,10,10,10,10,6,10,10,5,8,2,10,9,0,0,0,0,0
"37","Teacher","Computer Science and Technology","Other","Teacher","Computer Science and Technology",10,10,10,10,5,5,5,5,0,0,8,8,10,0,0,1,5,5,0,0,0,0,0,10,10,10,10,10,10,10,6,10,10,4,7,10,0,0,0,0,0,0,0
"38","Grade 12","Computer Science and Technology","Caucasian","MaCS","",10,10,10,10,10,9,7,7,6,5,8,8,1,1,7,1,3,3,6,0,0,0,5,10,0,10,10,10,5,2,8,10,10,10,10,10,8,0,5,5,0,0,0
"39","Grade 12","English","Caucasian","MaCS","",10,10,9,10,10,9,7,3,2,2,6,4,8,1,2,4,1,1,1,0,0,0,1,10,10,10,10,10,10,9,7,10,10,7,9,9,3,1,1,1,0,0,0
"40","Grade 12","Library;Math","Jewish","MaCS","",10,10,10,10,10,8,5,10,3,1,2,5,5,0,6,10,8,7,0,0,0,0,9,9,8,8,10,8,5,5,4,10,10,6,8,8,9,4,6,5,3,4,8
"41","Grade 11","Math","Other","MaCS","",10,10,10,10,10,8,7,10,6,7,4,4,3,0,4,4,4,5,3,0,0,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"42","Grade 12","Computer Science and Technology","South Asian","Applied","",10,10,7,8,10,8,8,10,6,3,3,3,0,0,0,0,9,8,8,0,0,0,0,7,10,10,10,10,10,7,7,6,5,5,5,10,4,3,3,5,0,0,0
"43","Grade 12","Computer Science and Technology","Mixed","Academic","",3,8,2,10,10,3,3,10,0,9,8,7,10,0,10,0,6,0,0,0,0,0,0,10,10,10,10,10,7,10,3,9,8,7,0,3,0,0,0,0,0,0,0
"44","Grade 12","Computer Science and Technology;Math","Filipino","Academic","",10,10,10,6,9,7,6,3,3,4,4,3,2,0,0,0,1,1,3,0,0,0,0,10,10,10,10,10,10,10,6,10,10,5,3,10,2,1,0,2,0,3,0
"45","Grade 9","Library","Caucasian","Academic","",5,7,7,5,4,2,4,7,5,5,4,9,9,0,0,9,0,3,4,3,4,6,10,10,10,10,10,10,10,10,7,10,10,10,10,10,5,0,0,2,0,0,0
"46","Grade 12","Computer Science and Technology","Caucasian","Academic","",9,10,10,10,10,10,7,9,5,6,9,9,7,4,8,9,9,9,9,1,0,0,9,10,10,10,10,3,8,8,4,0,8,9,9,9,0,0,0,0,0,0,0
"47","Grade 9","Physical Education;Social Sciences","East Asian","Academic","",10,9,8,9,10,8,6,4,6,6,6,5,8,2,6,8,3,4,8,0,0,0,5,10,8,10,10,10,7,8,0,10,10,0,10,8,0,10,3,0,0,0,0
"48","Grade 12","Science","Jewish","Academic","",10,10,10,10,10,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,10,10,10,10,0,10,10,0,0,10,0,0,0,0,0,0,0
"49","Grade 12","Business;Social Sciences","Jewish","Academic","",10,10,10,10,10,10,10,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,0,0,0,0,0
"50","Grade 12","Math;Science","East Asian","Academic","",10,10,10,10,10,10,10,10,8,8,8,8,0,0,7,10,8,8,6,0,0,0,10,10,10,10,10,10,10,10,7,5,3,7,6,5,2,10,2,3,0,0,0
"52","Grade 12","Arts;English","Caucasian","Academic","",10,10,10,10,10,10,10,10,10,10,10,10,10,3,10,10,10,10,10,3,1,2,10,0,10,10,10,10,9,10,10,10,9,10,10,10,10,10,10,10,10,10,10
"53","Grade 12","Social Sciences","Vietnamese","Academic","",0,0,5,7,10,8,6,10,6,5,1,4,0,0,0,0,2,0,0,0,0,0,0,4,9,10,10,7,4,2,0,2,1,0,5,4,1,0,3,6,0,0,0
"54","Grade 12","None","Other","Other","",6,5,3,0,10,5,2,1,0,0,5,0,8,0,1,9,0,0,0,0,1,0,10,10,10,10,10,10,10,10,0,0,4,10,0,0,0,0,0,0,0,0,10
"55","Grade 9","Arts;English;Social Sciences","Jewish","Academic","",10,10,10,10,10,10,5,10,5,5,5,5,5,0,5,10,10,10,5,0,0,0,10,10,10,10,10,10,10,10,1,10,10,1,1,1,1,0,0,1,0,0,0
"56","Grade 12","Arts;Social Sciences","Mixed","Academic","",10,10,10,10,10,7,0,10,0,0,0,0,5,0,0,5,5,5,0,0,0,0,0,10,10,10,10,10,10,10,0,10,10,0,0,0,0,0,0,0,0,0,0
"57","Grade 12","Business;Physical Education;Special Education","Caucasian","Applied","",7,7,10,10,10,2,2,6,5,3,6,3,4,0,0,1,2,2,2,0,0,0,3,8,7,7,8,5,5,3,2,8,9,7,1,6,0,0,1,0,0,0,0
"58","Grade 12","Arts;Business;English;Physical Education","Mixed","Academic","",3,6,0,6,10,1,0,7,0,0,7,0,2,0,0,0,0,0,0,0,0,0,8,10,5,10,10,5,0,0,0,10,10,10,0,8,0,0,0,0,0,0,0
"60","Teacher","Science","Caucasian","Teacher","Science;Special Education",10,10,10,10,10,9,8,8,7,7,9,9,6,4,9,2,6,7,7,1,0,0,6,10,10,10,10,10,10,9,4,10,10,4,9,9,4,0,4,1,0,0,0
